QUESTION,BT LEVEL
Describe how hypotheses are combined in boosting.,Comprehension
Comment on the most appropriate methods in which to deliver such a presentation and also address the merits of the methods you suggest in your solution.,Evaluation
Discuss THREE (3) differences between futures and forward contracts.,Comprehension
"Skimming and scanning are useful ways to familiarise learners with the reading text. 
Evaluate the role of skimming and scanning in the teaching of reading.",Evaluation
Show your calculations for all THREE (3) options and then discuss which one of the options you prefer.,Analysis
"Based on the social learning perspective, propose a strategy that able to reduce or eliminate prejudice. Support your strategy with ONE (1) relevant example. Elaborate your example in details. ",Evaluation
What criteria would you use to assess the validity of a business contract?,Evaluation
"""Don’t use public instance variables"" is defensive programming techniques. discuss why it is good advice?",Evaluation
Revise how to complete a complex task in order to improve the outcome.,Synthesis
Identify the standard peripheral components of a computer.,Knowledge
Design a building according to given specifications,Synthesis
"Imagine that you are a relative of an older adult who survives stroke, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",Synthesis
Explain why a sustained inflation is a purely monetary phenomenon and cannot exist without the cooperation of the Bank Negara Malaysia (BNM). ,Comprehension
"Output and capital are increasing more rapidly than labour in the pharmaceutical industry. However, labour is increasing faster than capital and output in the agriculture industry. Evaluate the different in the output growth and productivity between these two industries.",Evaluation
Inspect the pattern of GPS positions relative to the “known” published value,Analysis
"Rewrite the sentence in your head, following the direction given below",Comprehension
Analyze the purpose of having a Purchasing Department in an organization.,Analysis
Explain  the effect of a cut in taxes of $100 billion on the economy if the marginal propensity to consume were 0.9. Explain why this policy is much different from simply having the government initiate a $100 billion spending program. Support your answer with specific calculations. ,Analysis
List down FIVE (5) types of concrete admixture. ,Knowledge
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Evaluation
 Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Application
Write a short note about mulch and how mulching could help in controlling soil temperature. ,Comprehension
Explain the relationship between bond price and market interest rate using the bond pricing formula. ,Comprehension
Name a donor atom and acceptor atom for Si. ,Knowledge
"You are on a mission to study the microbial diversity in a hyperarid desert. Design experimental steps in collecting, storing, and analyzing the samples. Justify the choices in each step and predict the types of microbes that could be found. ",Evaluation
Explain how GST approach can be deployed in the context of Accounting Information System.,Application
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Synthesis
Analyze and discuss the challenges and opportunities that social media creates.,Analysis
Describe diminishing of marginal product and explain the relationship between average product and marginal product by using an appropriate diagram. ,Comprehension
"Based on your opinion, discuss critically, how far you agree that race relations have become unhealthy in our country.",Evaluation
Explain the SIX (6) power bases that determine effective leadership. Provide an example for each of the answers.,Comprehension
Design a new monetary system or an experiment for establishing.,Synthesis
Can you analyze the fractures and determine which should be repaired surgically,Analysis
Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,Synthesis
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analysis
Write another ending to the story that is different from the author’s ending.,Synthesis
Can you invent another character for the story?,Synthesis
Critically discuss the THREE (3) options in handling the international media planning or buying.,Analysis
Briefly explain how the aggregation processes could improve the water quality in a water treatment plant.,Comprehension
Explain the conceptual design process. ,Comprehension
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater. ,Application
Briefly explain why surface tension remains constant once critical micelle concentration (CMC) is reached. ,Comprehension
Determine how to minimize the total cost of operating and purchasing a telephone for the next six years.,Application
Explain how Referral Networks approach can be used as a tool to increase number of customers.,Application
"improved, reformed or rejected?",Evaluation
Summarize the data purification process.,Comprehension
"In your own words, how would you define transferable skills",Comprehension
Discuss political risk in the Political-Legal Environment of the Host Country. ,Comprehension
Determine the resistivity of a Si sample if it is doped with 10 phosphorus atoms/cm and H. = 750 cm Vs. Find the Hall coefficient of the sample. ,Application
Explain how MIDI file format will be more useful than other audio file formats in a certain scenario.,Application
What are the units of corrosion penetration rates? Relate these to Faraday's law,Knowledge
Give TWO (2) differences between  Unicode and IS0-8859 text encoding formats.,Comprehension
Briefly explain TWO (2) common techniques for data compression. Illustrate your answer with an example of each type of compression.,Comprehension
Distinguish between the following giving suitable examples,Analysis
An important step in Search Engine Optimization (SEO) is to identify relevant keywords for your website. Suggest THREE (3) offline keyword research methods and TWO (2) online keyword research methods in your keyword research efforts. ,Synthesis
Discover FOUR (4) characteristic of IT infrastructure to be considered.,Synthesis
"In your opinion,  provide  any  TWO  (2)  reasons  why  the  actions  of  one  firm  can significantly affect the sales of the other firms in an oligopoly market. ",Comprehension
Identify which country has an absolute advantage and comparative advantage in the production of pizza and cloth. ,Comprehension
Explain the FIVE (5) stages of organizational conflict according to Pondy's (1967) model. ,Comprehension
Estimate the number  of bytes required  for the storage of a full 5 minutes performance at CD quality audio.,Application
Do you agree...?,Evaluation
Calculate the equilibrium level of output for four sectors economy with taxes. ,Application
Name the four different types of interactions involved in building the tertiary structure of proteins and give one denaturing agent for each.,Comprehension
Define color temperature. ,Knowledge
Explain the impact of 'connection keep-alive' or persistence connection in the context of request response model on performance of sending response to clients.,Comprehension
"Compare and contrast the properties of clay brick and calcium silicate brick in terms of crushing strength, moisture movement, durability, appearance, fire resistance, colour, texture, sound and thermal insulation. ",Analysis
What approach would you use to prove the truth of the below statement ,Application
Explain in your own words what is meant by mercantilism.,Comprehension
Prestressed concrete is a method for overcoming concrete's natural weakness in tension. Justify the TWO (2) common methods of prestressing. ,Evaluation
Differentiate between .call by value and call by reference.,Analysis
Describe the economic growth and FOUR (4) sources of economic growth. ,Knowledge
Reason why a pornographic viewer's mind is likened to an addict's mind. Provide TWO (2) points. ,Comprehension
 Label the parts of the microscope shown on the right,Knowledge
Describe the methodology of determining the transcriptional start site using RACE-PCR. ,Comprehension
"""Portfolio management strategies are different based on investor's risk preferences and expected return”. Based on above statement, briefly discuss TWO (2) major portfolio management strategies. ",Comprehension
Recite the the Gaussian law,Knowledge
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",Comprehension
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,Evaluation
"By using an appropriate diagram, explain how the open market operation (OMO) can put an upward pressure on the federal fund rate (FFR).",Comprehension
Justify the concept of inheritance and give the sample of code to illustrate your answer.,Evaluation
Justify why soil taxonomy is considered as a hierarchical classification system. ,Evaluation
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluation
Discuss the regulation of ATCase which is an allosteric enzyme. ,Comprehension
Explain what is meant by the term Interactivity.,Comprehension
Identify and discuss THREE (3) issues on employee productivity problems that companies face.,Comprehension
Calculate the equilibrium level of income for Cambodia. ,Application
Analyze the product-market options that are available to Associated Meats Sdn Bhd.,Analysis
Define attribution. ,Knowledge
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluation
Predict what will happen next in.,Evaluation
Define “ecosystem services” and describe how they are benefiting our society. ,Comprehension
Discuss TWO (2) common methods of managing inventory adopted by manufacturing and retailing companies. ,Comprehension
Explain the processing of eukaryotic mRNA transcripts prior to translation. Indicate the chemical bases for each step. ,Comprehension
Draw a flowchart that represents the following codes.,Comprehension
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",Evaluation
Translate the following algorithm into Java code,Comprehension
Construct a Venn diagram to determine the validity of the given argument.,Application
How would the U.S.A. be different if the South had won the Civil War?,Synthesis
"If the value of the bond is RM900 and coupon are paid semi-annually, compute the yield to maturity (YTM) and the current yield of the bond. Interpret your answers. ",Application
judge the difficulty level for yourself.,Evaluation
Define Educational Technology based on FIVE (5) instructional design view. ,Knowledge
List FIVE (5) guidelines for spokesperson to follow during the media interview. ,Knowledge
Demonstrate email and social media approaches to create effective marketing plan.,Application
Evaluate your sketch with ASSURE's model procedure. ,Evaluation
Differentiate printf function calls for displaying prompts and for echoing data.,Analysis
Support your answers with ONE (1) example in everyday life for EACH theory. ,Evaluation
Name FIVE vital plant processes that herbicides target. ,Knowledge
Draw ONE (1) point perspective with TWO (2) geometrical forms.,Comprehension
Construct a model to demonstrate how it will work.,Application
State FOUR (4) reasons why level strategy is attractive to some companies in preparing aggregate production plan. ,Comprehension
Discuss the extent to which Value Chain Analysis can be applied in the logistics sector.,Application
"With the aid of diagrams, describe how the soil structure influences the rate of water leaching.",Comprehension
Cloud computing evolved from earlier technologies. State them.,Knowledge
Calculate the market demand and market supply in table form. ,Application
Design a new animal to live in the jungle.,Synthesis
Identify FIVE (5) conditions that one needs to meet in order to be an independent director in Malaysian public listed company (PLC).,Knowledge
Use philanthropy approach to manage corporate social responsibility effectively.,Application
Demonstrate email and social media approaches to create effective marketing plan.,Application
Fertilizer that is extremely high in phosphorus content is essential for flowering. Justify. ,Evaluation
"The Malaysian economy is currently operating at the natural level of output. In order to be a high-income country in 2020, government of Malaysia decides to increase the government spending. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Malaysia with appropriate diagrams.",Comprehension
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators  ",Comprehension
Explain on the advantages of switching from a flat-file processing system to a database management system. ,Comprehension
Compare and contrast our school to other communities.,Analysis
Identify any TWO (2) product design strategies you have learned. Explain how both strategies could be useful for instant respond to customer demand. ,Comprehension
Identify and describe THREE (3) difficulties in calculating national income accounting.,Comprehension
Would this information be useful if you had a . . .?,Application
Identify FOUR (4) major crisis variables in organizing and analyzing crisis evolution data. Support your answer with explanation and ONE (1) example for each variable. ,Comprehension
Propose TWO (2) strategies to reduce the occurrence of bullying.,Synthesis
Describe the sender-initiated task transfer method that used in dynamic load balancing.,Comprehension
Provide three (3) situations whereby it will be useful to use reference variables as parameters.,Knowledge
Evaluate the need for ethics in research.,Evaluation
Classify soil organisms according to their ecology and state TWO examples for each group. ,Comprehension
Discuss the main objective of layout design rules. ,Comprehension
Define standard operating procedures as highlighted.,Knowledge
Briefly explain the differences between and Langmuir-Blodgett (LB) monolayer and self-assembled monolayer (SAM). ,Comprehension
Discuss any FOUR (4) elements which are embedded in Total Quality Management Programme. ,Comprehension
"Assuming the elitism selection method where the best chromosomes are selected for pairing, apply the crossover and mutation for the selected pair of chromosomes using the encoding scheme proposed in (b)(i).",Application
Describe how accurate mass spectrometry could be applied to determine if a small protein contains a pair of disulfide-bonded cysteine residue or two reduced cysteine residues. Explain how you can confirm your finding. ,Analysis
"Given that a = -10, b = 2, c = 5 and d = 0. Evaluate the following relational and logical expressions:",Application
"Briefly explain the income-consumption curve. With the aid of diagrams, derive income-consumption curve and Engel curve if there is an increase in income given that the good is an inferior good. Explain your answer by showing at least two bundles of goods in the diagrams.",Comprehension
Estimate the difficulty of the question,Evaluation
State a main difference between a customer and a contact.,Comprehension
How much did he pay for his car,Knowledge
Explain the concept of narrowing conversion. Indicate in code how the conversion is done.,Comprehension
"Based on the aspartate protease mechanism, explain the concept of using ""Crixivan"" to treat HIV patients. ",Comprehension
Choose a character. Rewrite a scene from the story from this character's point of view.,Synthesis
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,Synthesis
"For any points which fall exactly on the curve, explain the combination of production for steel and bricks. ",Comprehension
Evaluate the characteristics of the board in a two-tier board structure. ,Evaluation
Provide the objectives of building maintenance. ,Comprehension
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.  ,Comprehension
List FIVE (5) weaknesses of Out-of-Home (OOH) Advertising. ,Knowledge
 What happens if you restrict a determinental process to a subset R  S? ,Application
Analyze SIX (6) types of modern construction problems as to how they negatively impact the various building functions. ,Analysis
Write a C++ statement to declare a variable of type musicType name MyTune.,Application
Suggest any THREE (3) scenarios where users  may benefit from using video calls in their communication.,Synthesis
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",Comprehension
IBS components can be divided into five broad categories. Briefly describe with examples all FIVE (5) categories. ,Comprehension
HTTP is a stateless protocol. Justify.,Evaluation
"Draw a body-centered cubic (BCC) unit cell. Calculate the volume density and area density on the (0, 0. 1) plane of a BCC cell if the lattice constant is 2.3 Å. Give a brief explanation of your calculations. ",Application
"As a manager in an Information Technology firm, suggest and elaborate any THREE (3) actions that organizations can take as part of the responsibility towards the society.",Synthesis
Discuss the biological factors that cause the deterioration of cut flowers.,Comprehension
List any TWO (2) real life examples of  the  organization  that implement the clicks-and-bricks B2C E-Commerce.,Knowledge
Describe the advantages and disadvantages of foliar application in fruit crops. ,Comprehension
Apply the rule of law to a new situation,Application
State the problems that could arise from environmental overload of fixed nitrogen due to generous usage of nitrogen fertilizer and suggest a possible solution for this situation. ,Synthesis
Shareholder activism is an important governance mechanism because this is how minority shareholders exercise and enforce their rights. Comment on the effectiveness of shareholder activism. ,Evaluation
Discuss the potential profit and loss for the long straddle. ,Comprehension
"Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Synthesis
"Design a sketch section of the floor slab adjoining the parapet that includes the scupper drain, drain guard, water proofing layer, and protective topping. ",Synthesis
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",Analysis
"Evaluate the nature and effect of significant ""entry barriers"" on the formulation of a strategic plan for a business which is already established in the industry.",Evaluation
"Just-in-time (JIT) attempts to remove delays, which do not add value. Explain how JIT copes with weather and its impact on crop harvest and transportation times. ",Comprehension
"""The monetary policy is always useful in stimulating the economic growth by increasing the money supply in the market."" Comment on this statement. Support your answer with an appropriate diagram. ",Evaluation
Describe FIVE (5) categories of space.,Knowledge
Compose an original work which incorporates five common materials in sculpture.,Synthesis
Draw the body-centered cubic cell and determine its packing fraction. State and explain the assumptions you have made. ,Application
Differentiate between humic and non-humic substances. ,Analysis
"Describe the effectiveness of advertising value of products, price, competition, consumer and business.",Comprehension
Describe material gathering process. ,Knowledge
How would you show your understanding of the ABC process,Application
Discuss major tasks in data preprocessing.,Comprehension
Synthesize the need for ventilation as an engineering control.,Synthesis
Distinguish between stock dividend and stock split by providing one relevant example. ,Analysis
Explain FIVE (5) ways that can be practiced by the organization to communicate during the crisis. ,Comprehension
Can you find four different feelings Pa Lia had during the story?,Analysis
Analyze the roles of web container or servlet container in a web server in the context of request response model.,Analysis
Can you develop method to handle the following case . . . ? ,Synthesis
List the advantages and limitations of protein crystal structure determination using X-Ray crystallography. ,Comprehension
Discuss in detail the THREE (3) major asset allocation strategies in managing portfolio. ,Comprehension
Describe the amino acid composition that could destabilize an enzyme's helical stability. ,Comprehension
Compare and contrast the two items and produce a summary of their similarities and differences,Analysis
Write a JAVA program to show the Overloading concept,Synthesis
Show that the wavefunction of a free particle is a plane wave. ,Application
Soil algae and protozoa are usually restricted at the uppermost soil layers and smaller than their aquatic counterparts. Justify. ,Evaluation
List down ALL types of brick wall and give explanations for each type of the wall. ,Comprehension
Discuss FOUR (4) common modern construction problems to anticipate. ,Comprehension
Propose TWO (2) self-presentation tactics for impression management. ,Synthesis
Distinguish between chemically defined media and natural media.,Analysis
Establish criteria for making this choice and defend your final selection.,Evaluation
Explain Greimas square tool and discuss how it can be applied the aviation industry.,Application
"Explain the reason why it is not necessary to include product cost (price or price times quantity) in the EOQ model, but the quantity discount model requires the inclusion of product cost. ",Comprehension
Explain the communicative property.,Comprehension
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,Application
How does...compare/contrast with...?,Analysis
"Compute the duration for a five-year bond, RM1,000 par value bond with a 7 percent annual coupon which is trading at yield to maturity of 5 percent. ",Application
State in your own words ...,Comprehension
Discuss the importance of Philip Crosby's suggestion on “do it right the first time” by manufacturing company. ,Comprehension
GIF and SWF file format can be used to create animations. Compare and state the major advantage and limitation of using GIF rather than SWF for creating animations in webpages.,Analysis
"Explain how the ionic, metallic, covalent, and mixed states solids are formed. Give an example of each solid and compare the electrical conductivity of the four types of solid. ",Comprehension
Compare and contrast Address Verification  System (AVS) and Card verification number (CVN).,Analysis
Investigate innovations that can enhance future Olympics.,Analysis
Explain THREE (3) advantages of using aluminium to fabricate roof gutter. ,Comprehension
Differentiate between electroosmosis and electrophoretic mobility of solutes in capillary electroosmosis. ,Analysis
Draw ONE (1) self-contained format and ONE (1) free form format of logo design. ,Comprehension
State in one word ...,Comprehension
Explain the Media Richness Model. Use the model to discuss how managers can pick the best channel in communicating with staff and support your discussion with a scenario. ,Evaluation
"In your own words, tell what is meant by the definition of an isosceles triangle.",Comprehension
Describe the major functions or roles of soil microbes that beneficially impact human health and welfare. ,Comprehension
List the SEVEN (7) stages of the development process of a building project. ,Knowledge
How was this similar to . . .?,Analysis
Short term and long term incentives have their own merits in promoting corporate performance. Compare and contrast the problems associated with both short term and long term incentives. ,Analysis
List and describe THREE (3) accounting cycles in an Accounting Information System.,Knowledge
Discuss FOUR (4) economic roles of money market. ,Comprehension
Compare product layout and process layout. ,Analysis
Illustrate with example the FOUR (4) advantages of photography. ,Comprehension
Tell in your own words how the setting of the story made it more interesting.,Comprehension
Compare and contrast the waterfall model with the prototyping model.,Analysis
Identify any TWO (2) advantages of matching demand strategy and level strategy each in preparing aggregate production plan. ,Knowledge
Briefly describe the advantages of marker assisted selection in farm animal breeding. ,Comprehension
Summarize the basic tenets of collaborative conservation.,Comprehension
Explain briefly the design development process.,Comprehension
Describe 4 types of coupling in software design.,Comprehension
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analysis
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Suggest and explain a method to elute protein X from the column. ",Synthesis
"Discuss the THREE (3) important fundamentals in basic economic concepts that are opportunity cost, efficient market and marginalism. ",Comprehension
What are the structure or functions of Congress,Knowledge
Oxidation is one of the most important thermal processes. Briefly explain the TWO (2) types of oxidation process. ,Comprehension
ABC inventory analysis is one of the methods used by manufacturing companies for effective inventory management. Explain your answer. ,Comprehension
Name the authors of...?,Knowledge
Differentiate between crossbreeding and linebreeding. ,Analysis
State the pattern for expressing time in French.,Knowledge
Explain the FOUR (4) roles of media during a crisis. Support your explanation with an appropriate example for each role. ,Comprehension
Explain each inventory control method and suggest TWO (2) types of products for each method.,Synthesis
Classify types of corrosion inhibitors  ,Comprehension
How would you feel if . . .?,Evaluation
Find the errors and rewrite the corrected codes.,Comprehension
"Draw Production Possibilities Frontier and Trading Possibilities Frontier for Argentina and Mexico.
",Comprehension
Suggest a way to deal with this scenario,Application
 Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analysis
State the advantage of applying each step in the purification scheme. ,Comprehension
"The Friesian cow, a dairy breed, is a product of selective breeding. Predict the problems that may occur during the selection of Friesian Cows. ",Application
Define social commerce and discuss its advantages for e-marketers.,Comprehension
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Application
Explain how SWOT and Porter's techniques is applied in the manufacturing industries.,Application
"Discriminate the different parts of the story (introduction, development, climax, resolution.)",Analysis
How do we efficiently combine multiple subject graphs to construct an aig with choice,Synthesis
Design costumes for the characters.,Synthesis
Differentiate between a wholesaler and a retailer.,Analysis
Describe the term 'urbanization' and discuss how urbanization influences the development of marketing and advertising strategies.,Comprehension
Describe what happened at...?,Comprehension
Explain the process of ideas generation. ,Comprehension
Discuss how Resource Based View can be implemented in organizations to reinforce financial standing.,Application
Express the following percentages as fractions in simplest form,Comprehension
List four types of clauses mentioned in the article,Knowledge
Identify SIX (6) factors to be considered when designing layout. ,Knowledge
Explain all the elements of multimedia with examples. ,Comprehension
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Comprehension
Letter of credit is a written promises to pay third party on clients behalf. Explain the functions of commercial letter of credit and standby letter of credit. ,Comprehension
Classify and briefly explain different computational methods used in analyzing flows in hydraulic engineering. ,Comprehension
List and describe THREE (3) accounting cycles in an Accounting Information System.,Knowledge
"Davenport (2000) discusses four emerging trends to be considered in designing future enterprise systems. Analyze each emerging trend, its relevance and importance to the designing of future enterprise systems.",Analysis
Explain THREE (3) waves of globalisation. ,Comprehension
Retell the story in your words.,Comprehension
"State TWO examples for inorganic and organic contaminants, respectively. ",Knowledge
Why don’t you devise your own way to deal with . . .?,Synthesis
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain EIGHT (8) significant factors of national income accounting. ,Comprehension
Outline THREE (3) uses of digital audio in the multimedia presentation.,Knowledge
"According to many researchers, market inefficiencies do exist in most of the stock markets in the world and also known as market anomalies. This situation is contradicted to market efficiency hypothesis. Describe SIX (6) market inefficiencies that commonly happen in the stock markets. ",Comprehension
Recall locations of a historical events,Knowledge
Calculate the length of the projection of vector x on vector y. ,Application
What do you think is the mass and why,Evaluation
Make a diagnosis or analyze a case study.,Analysis
Judge the validity of arguments for and against astrology,Evaluation
Describe the advantages of Product Standardization. ,Knowledge
"Besides Field Programmable Gate Array (FPGA), name one other type of programmable logic device. ",Knowledge
Briefly explain why does surface tension remain constant once critical micelle concentration (CMC) is reached.,Comprehension
Compose music for a frog play.,Synthesis
Can you propose a model that would change . . . ?,Synthesis
You are working with SP Setia Properties as the Sales Manager for the following project. Discuss EIGHT (8) ways to increase profits of the project. ,Comprehension
Use Laplace to solve the following problems,Application
Explain the physical meaning of transconductance. ,Comprehension
Discuss the implications of Efficient Market Hypothesis for Technician (Chartist) and Fundamentalist. ,Comprehension
What is a global variable?,Knowledge
Use tableau methods to prove that the following tableau is valid.,Application
"Explain the microbe-related coupling of carbon, nitrogen, and oxygen in a lake that is experiencing a sudden bloom of cyanobacteria due to anthropogenic fertilizer inputs. ",Comprehension
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,Analysis
Suggest TWO (2) ways of managing knowledge that organization can perform in order to gain sustainable advantage in today's rapid changing market environment.,Synthesis
"Starting from a point of equilibrium, explain the case of a decreasing - cost industry in a perfectly competitive market with the aid of diagram(s). ",Comprehension
Distinguish between stock dividend and stock split by providing one relevant example. ,Analysis
Propose ONE (1) new local flavor Kit Kat for Malaysian consumers. Describe the need for the new flavor among the Malaysian consumer. ,Synthesis
Show how NLP techniques can be deployed in business.,Application
"Critically explain how our statuses, educational qualification and occupation affect our social stratification, social mobility and life chances.",Analysis
Construct a basic diagram or figure to demonstrate your understandings on what Information System is.,Comprehension
Can you explain what is happening . . . what is meant . . .? ,Comprehension
“Transgenic technology is the best method used for crop improvement and that it should be the only method adopted in future”. Comment on the above statement and justify your explanation.,Evaluation
Evaluate the need for ethics in research.,Evaluation
In a building there is always concern with fire safety. List what aspects you would assess in order to achieve strict compliance in the building design. ,Comprehension
Can you think of an original way for collect and develop the . . . ?,Synthesis
List TWO (2) advantages and TWO (2) disadvantages of printed newspaper advertising.,Knowledge
Describe FIVE (5) techniques to achieve dominance. ,Knowledge
List FIVE (5) elements in downward communication.,Knowledge
"Identify a property (commutative, additive, etc(",Knowledge
Prepare a research  proposal on a study that you have to conduct on the purchasing behaviour of teenagers in the Klang Valley.,Synthesis
The impact of using JSTL in software development can significantly reduce its development time. Prove that there is some truth in the statement.,Evaluation
Explain briefly the effectiveness of advertising based on strategy concept. ,Comprehension
Compare matching demand and level aggregate production planning. ,Analysis
Write down Schrodinger's equation in one dimension and explain the meaning of each term of the equation. ,Comprehension
"In computational methods of analyzing flows in rivers and channels, effects of turbulence are reflected in different ways depending on how the flow is modelled. Give examples of these models and explain the advantages and  shortcomings. ",Comprehension
"For any points which fall under the curve, explain the combination of production for steel and bricks. ",Comprehension
Choose the best statements that apply ...,Application
Provide TWO  (2) possible reasons why AirAsia  decide to offer this new online service.,Comprehension
Briefly describe FOUR principles in selecting and purchasing breeding stock. ,Comprehension
Create a storyboard for a sequel to your book. Use the same characters.,Synthesis
Apply laws of statistics to evaluate the reliability of a written test.,Application
List the SEVEN (7) factors to be considered in the method of excavation and timbering. ,Knowledge
Apply shading to produce depth in drawing.,Application
Distinguish between flat roof and pitched roof. ,Analysis
Design  a possible website structure to teach writing skills to children aged 4-6. There should be at least 3 components.,Synthesis
Describe the components involved in the formation of a folded enzyme. ,Comprehension
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Synthesis
Select the best proposal for a proposed water treatment plant.,Evaluation
Describe Prisoner Dilemma in the context of game theory.,Knowledge
Define cation exchange capacity (CEC) and discuss how CEC influences the status of nutrients in soil. ,Comprehension
Please label the diagram below:,Knowledge
Mass media regularly use women in the mediuin of marketing and advertising. Discuss the possible negative consequences for various segments of the population and society. ,Comprehension
Explain FOUR (4) categories of unintentional crisis. Provide your answer with an appropriate example for each category. ,Comprehension
Summarize the basic tenets of deconstructionism.,Comprehension
Discuss the negative effects of advertising on children. ,Comprehension
List any five departments and discuss the relations between these departments and the importance of depending on each other.,Analysis
Explain different approaches used in hydraulic engineering to achieve its objectives by giving examples. ,Comprehension
Compare the seasoning method between softwood and hardwood. ,Comprehension
Describe the principles of a coupled enzyme assay. ,Comprehension
Give the appropriate formula to calculate the kinetic energy of sodium. ,Comprehension
Define brainstorming process. ,Knowledge
State the significance of “Score” in the BlastX alignment. ,Comprehension
Create several scientific hypotheses to …,Synthesis
State the definition of application in Bloom's Taxonomy.,Knowledge
Explain how the future of social media can be explained by Web 3.0.  ,Comprehension
Explain the possible uses described in class for the space to the left of the vertical line.,Comprehension
Apply the storytelling technique here to a little story of your own.,Application
State TWO (2) subsystems of AIS. ,Knowledge
Explain how changes in amino acid ionization states could affect the catalytic activity of an enzyme. ,Comprehension
Briefly explain about Nyquist Theorem.,Comprehension
"Classify the following substances as particle, atom, element, molecule, compound",Comprehension
List FIVE (5) categories of Intentional Crises and FIVE (5) categories of Unintentional Crises. ,Knowledge
"Design a record, book or magazine cover for...",Synthesis
Explain creative brief. ,Comprehension
Compare this book to the last book you read.,Analysis
Discuss FIVE (5) advantages of IBS compared to conventional in situ concrete. ,Comprehension
Identify whether the firm is in the short-run or long-run  equilibrium. Explain.,Comprehension
Identify the advantages and disadvantages of in situ and ex situ means of remediating polluted soils. ,Comprehension
Identify FOUR (4) factors that influence consumer behaviour. ,Knowledge
Explain the reasons of using a mixed-media approach by advertisers. ,Comprehension
Identify TEN (10) tips during the press conference. ,Knowledge
Discuss the actions of central bank towards monetary policy that will significantly influence Federal Funds Rate in short run. ,Comprehension
Briefly explain the difference between Form Load event and Form Activated  event.,Comprehension
The Glass-Steagall Act of 1933 and the Financial Services Modernization Act of 1999 created impact on commercial banks and investment banks in the US. Explain each act in detail. ,Comprehension
"Illustrate with a drawing the biochemical pathway for natural rubber biosynthesis, beginning with acetyl CoA. ",Comprehension
Briefly  explain  any  TWO  (2) observations  of information  technology trend using Moore's Law.,Comprehension
Draw a flowchart to accept a number and output its factorial.example 1: input 5 -> 5! = 5x4x3x2x1 -> output 120 ,Comprehension
Compose a simple rap or rhyme about zoo animals.,Synthesis
Distinguish the difference between low pass filter and high pass filter.,Analysis
List the steps involved in titration.,Knowledge
Illustrate the effect of an expansionary monetary policy. Justify your answer with an appropriate diagram. ,Evaluation
Determine the possible number of unique zygotes that could be produced upon successful mating. ,Application
Determine if the winery is providing an amplifying or smoothing effect. ,Application
 How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analysis
Explain how e-mail agents work.,Comprehension
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,Evaluation
Write a logically organized argument in favor of a given position.,Synthesis
Show that the Fermi-Dirac function is a step function at T = 0 K. ,Application
"Explain, using appropriate examples, FIVE (5)  possible sources of data pollution in implementing data warehouse in the bank.",Comprehension
Look at the symbol. What is the symbol’s purpose on a map?,Knowledge
Briefly explain why a parallel solution with less number of synchronisation phases is more preferred than other solution with a lot of synchronisation phases.,Comprehension
Explain FIVE (5) disadvantages of out-of-home (OOH) advertising. ,Comprehension
Evaluate your sketch with ASSURE's model procedure. ,Evaluation
Describe focused task and how it can be used to teach grammar for low  proficiency students. ,Knowledge
Explain THREE (3) broad categories of e-commerce with examples.,Comprehension
Give FOUR (4) advantages of multimedia application in education.,Knowledge
Do you think . . . is a good or a bad thing?,Evaluation
